"Key","Source - English","Target - English"
"forms.acctRegistrationTitle","Create Your Profile ","Create Your Profile "
"forms.button.continue","Continue","Continue"
"forms.button.continueReg","Continue anyway?","Continue anyway?"
"forms.button.deviceReg","Register a device.","Register a device."
"forms.button.fidoRetry","Try device again","Try device again"
"forms.button.newRegistration","No account? Register now!","No account? Register now!"
"forms.button.nextRegDeviceButton","Yes, register another device","Yes, register another device"
"forms.button.register","Register","Register"
"forms.button.resendVerification","Resend verification code","Resend verification code"
"forms.button.signOnReturn","Already have an account? Sign On","Already have an account? Sign On"
"forms.button.text","Submit","Submit"
"forms.button.text.signOn","Sign On","Sign On"
"forms.button.text.trouble","Having trouble signing on?","Having trouble signing on?"
"forms.field.CompletetionString","Testing String","Testing String"
"forms.field.devicePromptTitle","Please choose your authentication method","Please choose your authentication method"
"forms.fields.backText","Cancel","Cancel"
"forms.fields.currentPassword","Current Password","Current Password"
"forms.fields.newPassword","New Password","New Password"
"forms.fields.otpMessage","Enter the passcode you received to complete authentication.","Enter the passcode you received to complete authentication."
"forms.fields.pollingPageMessage","We are ensuring your experience is secure. We apologize for your delay.","We are ensuring your experience is secure. We apologize for your delay."
"forms.fields.pollingPageTitle","Ensuring a secure experience.","Ensuring a secure experience."
"forms.fields.resend","Resend","Resend"
"forms.fields.user.email.label","Email Address","Email Address"
"forms.fields.user.password.label","Password","Password"
"forms.fields.user.password.labelPasswordVerify","Verify Password","Verify Password"
"forms.fields.user.username.label","Username","Username"
"forms.label.emailPairingMessage","Please enter the email you wish to authenticate with.","Please enter the email you wish to authenticate with."
"forms.label.phone","Phone Number","Phone Number"
"forms.text.RegisterTitle","Register Now!","Register Now!"
"forms.text.acctRecoveryText","Enter your username to receive a recovery code that will let you change your password.","Enter your username to receive a recovery code that will let you change your password."
"forms.text.acctRecoveryTitle","Recover Your Account","Recover Your Account"
"forms.text.acctVerificationText","Enter the code that was emailed to you to verify your email address.","Enter the code that was emailed to you to verify your email address."
"forms.text.acctVerificationTitle","Verification Code","Verification Code"
"forms.text.bypass","Bypass!","Bypass!"
"forms.text.completedRegistration","Your account has been successfully created.","Your account has been successfully created."
"forms.text.completionScreen","Testing string","Testing string"
"forms.text.createPassword","Create and verify a new password.","Create and verify a new password."
"forms.text.deviceRegMessage","No devices found for the user. You can register a new device below.","No devices found for the user. You can register a new device below."
"forms.text.deviceRegTitle","No Devices","No Devices"
"forms.text.differentDevice","Choose a different device","Choose a different device"
"forms.text.fidoPolling","Loading Devices","Loading Devices"
"forms.text.forgotDevice","Forgot your device?","Forgot your device?"
"forms.text.newPassword","Enter New Password","Enter New Password"
"forms.text.nextDeviceType","Device Type:","Device Type:"
"forms.text.nextRegDevice","Device Registered","Device Registered"
"forms.text.nextRegDeviceMessage","You have successfully registered a device. Would you like to register another device?","You have successfully registered a device. Would you like to register another device?"
"forms.text.no","No","No"
"forms.text.passcode","Passcode","Passcode"
"forms.text.phonePairingMessage","Enter the phone number that you want to use for authentication.","Enter the phone number that you want to use for authentication."
"forms.text.please","Please","Please"
"forms.text.protectMessage","You have successfully authenticated using adaptive authentication.","You have successfully authenticated using adaptive authentication."
"forms.text.protectOnScreenMessage","Your Risk Score is","Your Risk Score is"
"forms.text.pwdUpdateSuccess","Your password has been successfully updated.","Your password has been successfully updated."
"forms.text.recoveryCode","Recovery Code","Recovery Code"
"forms.text.returnToAuth","Return to Authentication","Return to Authentication"
"forms.text.sorry","We apologize for your delay.","We apologize for your delay."
"forms.text.success","Success","Success"
"forms.text.updatePassword","Update Password","Update Password"
"forms.text.updatePasswordtext","Your password needs to be updated.","Your password needs to be updated."
"forms.text.verify","Verify","Verify"
"forms.text.welcomeText","Welcome to","Welcome to"
